district,Dropout_Rate_Sec,Dropout_Rate_HSec,Avg_PTR_district_23_24,%_Schools_Func_Toilets_23_24,%_Schools_Library_23_24,%_Schools_Electricity_23_24,NFHS_Women_10_plus_School,NFHS_Women_Literate,NFHS_Female_Ever_Attended_School,NFHS_Improved_Water,NFHS_Improved_Sanitation,NFHS_Electricity,NFHS_Health_Insurance,NFHS_Early_Marriage,NFHS_Teen_Pregnancy,NFHS_Family_Planning_Modern
KARBI ANGLONG,0.03628299894403380,0.4484045164457540,40.1268919788781,0.7347181008902080,0.8142433234421370,0.8486646884273000,30.3,78.8,76.4,79.6,75.2,97.0,54.1,26.1,9.1,66.3
KARGIL,0.0011033468186832900,0.26639344262295100,20.622466676057000,0.7641357027463650,0.9143780290791600,0.6526655896607430,50.3,77.2,69.6,90.2,42.3,99.1,13.6,2.5,0.0,46.9
KARIMGANJ,0.17141275990196900,0.44917915592207700,62.08257416630580,0.7232397232397230,0.71998371998372,0.8253968253968250,19.6,80.7,82.1,62.3,61.5,87.1,64.4,27.7,9.9,64.3
KARIMNAGAR,-0.016030473771922800,-0.24331804849836800,29.32892356294120,0.8294062205466540,0.9321394910461830,0.9717247879359100,50.8,70.3,63.6,98.3,78.8,99.7,58.6,11.9,7.6,56.8
KARNAL,-0.03513804230907130,0.11885825657791300,28.73618671085560,0.9420401854714060,0.9312210200927360,0.9930448222565690,46.8,84.5,79.2,99.9,83.5,99.2,24.6,6.6,3.1,79.1
KARUR,-0.05502330398757120,0.08344695936733030,19.295307897517500,0.8080524344569290,0.9794007490636700,0.9794007490636700,51.2,80.5,73.2,99.4,63.6,98.7,74.6,13.3,3.3,65.8
KASARAGOD,0.033642741970628,0.2211418979311550,36.54133939366310,0.9856938483547930,0.9742489270386270,0.9957081545064380,68.3,95.9,90.8,93.2,98.9,99.5,44.0,4.7,3.7,56.4
KATHUA,0.06121915516520280,0.21137757947573900,29.00444259701640,0.6280884265279580,0.6196358907672300,0.88296488946684,64.9,87.7,77.4,96.1,75.4,99.7,7.0,1.4,0.0,74.9
KATIHAR,0.4938892450713260,0.373154976751927,102.80499771536700,0.8700481303221030,0.5934838948537580,0.7708256201406890,19.8,49.7,57.5,99.2,44.6,92.0,8.4,49.4,16.1,33.8
KATNI,0.1330934263659590,0.2607425298998790,46.74026993534560,0.6656580937972770,0.9687342410489160,0.9399899142713060,32.5,72.0,71.4,94.0,53.5,97.9,18.1,17.2,1.7,72.4
KAUSHAMBI,0.2842049553081390,0.31334588678357100,43.65642553082380,0.9061922365988910,0.8678373382624770,0.8091497227356750,31.9,62.0,63.2,98.3,59.6,78.7,20.2,17.6,2.9,62.5
KENDRAPARA,0.04017100701233020,0.3708746826678980,45.74174948495930,0.9070667957405620,0.989351403678606,0.9835430784123910,42.5,86.7,84.3,99.7,57.3,99.5,50.0,9.4,1.8,64.7
KHAGARIA,0.5558879405676700,0.4723402825608550,87.75364703143170,0.8660578386605780,0.22146118721461200,0.789193302891933,26.6,51.8,60.6,98.8,65.0,94.5,15.6,44.9,15.1,40.9
